Zebrafish Gene ID,Zebrafish Gene Symbol,Human Ortholog Entrez Gene Id,Human Ortholog Symbol,tf_ensembl_id,tf_gene_short_name,tf_family,tf_entrez_id,zf_symbol_key,n_passing_cell_types,max_avg_expr,max_frac_expr,n_observed_cell_types
ZDB-GENE-980526-501,tal1,6886,TAL1,ENSDARG00000019930,tal1,bHLH,30766,tal1,3,1.02730375426621,0.559726962457338,114.0
ZDB-GENE-030131-7782,cnbpb,7555,CNBP,ENSDARG00000070922,cnbpb,Others,335839,cnbpb,3,0.951933124346917,0.527690700104493,114.0
ZDB-GENE-000223-14,phox2a,401,PHOX2A,ENSDARG00000007406,phox2a,Homeobox,404602,phox2a,3,0.65,0.45,114.0
ZDB-GENE-990621-7,dmrt2a,10655,DMRT2,ENSDARG00000015072,dmrt2a,DM,30129,dmrt2a,3,0.5,0.263157894736842,114.0
ZDB-GENE-060728-1,lhx4,89884,LHX4,ENSDARG00000039458,lhx4,Homeobox,571943,lhx4,3,0.487179487179487,0.3,114.0
ZDB-GENE-980526-437,tbxta,6862,TBXT,ENSDARG00000101576,tbxta,T-box,30399,tbxta,3,0.45,0.352941176470588,114.0
ZDB-GENE-980526-115,nr2f1a,7025,NR2F1,ENSDARG00000052695,nr2f1a,RXR-like,30418,nr2f1a,3,0.4375,0.3125,114.0
ZDB-GENE-030131-1077,hnf4a,3172,HNF4A,ENSDARG00000021494,hnf4a,RXR-like,322358,hnf4a,3,0.432748538011696,0.310591293047433,114.0
ZDB-GENE-990726-27,tbx2b,6909,TBX2,ENSDARG00000006120,tbx2b,T-box,30253,tbx2b,3,0.409090909090909,0.308300395256917,114.0
ZDB-GENE-030131-8290,sox4a,6659,SOX4,ENSDARG00000004588,sox4a,HMG,336346,sox4a,3,0.4,0.2,114.0
ZDB-GENE-030131-967,smarce1,6605,SMARCE1,ENSDARG00000016871,smarce1,HMG,322248,smarce1,3,0.380952380952381,0.3,114.0
ZDB-GENE-021008-1,foxn1,8456,FOXN1,ENSDARG00000011879,foxn1,Fork_head,266748,foxn1,3,0.352941176470588,0.333333333333333,114.0
ZDB-GENE-030128-4,smad3b,4088,SMAD3,ENSDARG00000010207,smad3b,MH1,326283,smad3b,3,0.297872340425532,0.238095238095238,114.0
ZDB-GENE-980526-561,myod1,4654,MYOD1,ENSDARG00000030110,myod1,bHLH,30513,myod1,3,0.28944618599791,0.243478260869565,114.0
ZDB-GENE-980526-406,otx2b,5015,OTX2,ENSDARG00000011235,otx2b,TF_Otx,30501,otx2b,2,0.933333333333333,0.533333333333333,114.0
ZDB-GENE-990910-11,mitfa,4286,MITF,ENSDARG00000003732,mitfa,bHLH,30080,mitfa,2,0.788530465949821,0.446927374301676,114.0
ZDB-GENE-060825-351,spi1a,6688,SPI1,ENSDARG00000067797,spi1a,ETS,751704,spi1a,2,0.776978417266187,0.482014388489209,114.0
ZDB-GENE-050913-123,grhl2a,79977,GRHL2,ENSDARG00000058342,grhl2a,CP2,555744,grhl2a,2,0.727272727272727,0.5,114.0
ZDB-GENE-040629-2,sp7,121340,SP7,ENSDARG00000019516,sp7,zf-C2H2,405789,sp7,2,0.683794466403162,0.375494071146245,114.0
ZDB-GENE-030131-3003,hnf1bb,6928,HNF1B,ENSDARG00000022295,hnf1bb,Homeobox,324283,hnf1bb,2,0.605263157894737,0.242424242424242,114.0
ZDB-GENE-080321-1,stat2,6773,STAT2,ENSDARG00000031647,stat2,STAT,565200,stat2,2,0.571428571428571,0.357142857142857,114.0
ZDB-GENE-980526-268,gata1a,2623,GATA1,ENSDARG00000013477,gata1a,zf-GATA,30481,gata1a,2,0.55421686746988,0.356626506024096,114.0
ZDB-GENE-030814-2,tp73,7161,TP73,ENSDARG00000017953,tp73,P53,368221,tp73,2,0.515527950310559,0.298136645962733,114.0
ZDB-GENE-040409-1,mnx1,3110,MNX1,ENSDARG00000035984,mnx1,Homeobox,405399,mnx1,2,0.45,0.35,114.0
ZDB-GENE-000710-4,zic2a,7546,ZIC2,ENSDARG00000015554,zic2a,zf-C2H2,58077,zic2a,2,0.434146341463415,0.321951219512195,114.0
ZDB-GENE-980526-55,klf1,10661,KLF1,ENSDARG00000017400,klf1,zf-C2H2,30104,klf1,2,0.426103646833013,0.330134357005758,114.0
ZDB-GENE-040718-149,meox1,4222,MEOX1,ENSDARG00000007891,meox1,Homeobox,436723,meox1,2,0.42379896526238,0.271341463414634,114.0
ZDB-GENE-980526-515,mafba,9935,MAFB,ENSDARG00000017121,mafba,TF_bZIP,30210,mafba,2,0.392405063291139,0.25,114.0
ZDB-GENE-091118-129,gfi1b,8328,GFI1B,ENSDARG00000079947,gfi1b,zf-C2H2,100151531,gfi1b,2,0.3875,0.251439539347409,114.0
ZDB-GENE-980526-73,dlx4a,1748,DLX4,ENSDARG00000011956,dlx4a,Homeobox,30561,dlx4a,2,0.375,0.220689655172414,114.0
ZDB-GENE-980526-280,dlx3b,1747,DLX3,ENSDARG00000014626,dlx3b,Homeobox,30585,dlx3b,2,0.362068965517241,0.257731958762887,114.0
ZDB-GENE-050419-191,alx1,8092,ALX1,ENSDARG00000062824,alx1,Homeobox,565176,alx1,2,0.325886990801577,0.21419185282523,114.0
ZDB-GENE-030219-92,zic2b,7546,ZIC2,ENSDARG00000037178,zic2b,zf-C2H2,570746,zic2b,2,0.314565483476132,0.246022031823745,114.0
ZDB-GENE-050417-313,znf750,79755,ZNF750,ENSDARG00000102267,znf750,Others,550483,znf750,2,0.291666666666667,0.291666666666667,114.0
ZDB-GENE-140106-70,capn15,6650,CAPN15,ENSDARG00000060600,capn15,Others,100330198,capn15,2,0.291666666666667,0.209354120267261,114.0
ZDB-GENE-030616-252,ubtf,7343,UBTF,ENSDARG00000035066,ubtf,HMG,368509,ubtf,2,0.25,0.25,114.0
